Position,Code,Registration,Total Score,Language,Math,Specific
559,1504,19111752,27.4,8.8,0.0,18.7
560,1504,19130941,27.4,2.3,0.0,25.1
561,1504,19124905,27.4,2.3,4.5,20.6
562,1504,19134986,27.4,2.3,4.5,20.6
563,1504,19130597,27.4,2.3,4.5,20.6
564,1504,19117904,27.3,2.3,10.7,14.3
565,1504,19134000,27.3,17.3,0.0,10.0
566,1504,19144153,27.3,8.0,4.5,14.7
567,1504,19136931,27.2,14.7,6.7,5.8
568,1504,19134854,27.2,14.7,0.0,12.4
569,1504,19104332,26.9,14.7,6.3,5.8
570,1504,19129698,26.9,0.0,6.3,20.6
571,1504,19104930,26.9,8.0,13.0,5.8
572,1504,19122920,26.8,0.0,0.0,26.8
573,1504,19130945,26.7,8.0,12.8,5.8
574,1504,19120084,26.6,9.3,0.0,17.3
575,1504,19100752,26.5,10.3,0.0,16.2
576,1504,19110810,26.4,8.0,12.5,5.8
577,1504,19107157,26.3,13.6,12.7,0.0
578,1504,19103821,26.3,11.1,5.1,10.2
579,1504,19136444,26.2,9.3,12.8,4.1
580,1504,19126084,26.1,13.6,12.5,0.0
581,1504,19108671,26.1,2.3,6.3,17.5
582,1504,19109381,26.1,2.3,4.5,19.3
583,1504,19106728,26.0,8.0,6.3,11.7
584,1504,19118838,26.0,0.0,4.5,21.5
585,1504,19107929,25.9,2.3,6.3,17.3
586,1504,19124324,25.9,2.3,0.0,23.6
587,1504,19130792,25.8,21.7,0.0,4.1
588,1504,19132002,25.7,8.8,6.3,10.6
589,1504,19121156,25.7,15.0,6.3,4.3
590,1504,19142997,25.6,8.8,12.5,4.3
591,1504,19114264,25.6,0.0,0.0,25.6
592,1504,19111383,25.4,2.3,0.0,23.1
593,1504,19126175,25.4,7.0,6.3,12.1
594,1504,19100254,25.3,0.0,0.0,25.3
595,1504,19100996,25.3,10.3,10.8,4.1
596,1504,19103140,25.3,10.3,10.8,4.1
597,1504,19107924,24.9,2.3,0.0,22.6
598,1504,19138926,24.9,2.3,0.0,22.6
599,1504,19140600,24.9,2.3,10.9,11.7
600,1504,19111539,24.9,2.3,6.2,16.4
601,1504,19111313,24.7,0.0,14.4,10.4
602,1504,19104684,24.7,0.0,12.7,12.1
603,1504,19108989,24.7,14.7,0.0,10.0
604,1504,19102457,24.6,2.3,6.7,15.6
605,1504,19132337,24.4,0.0,16.0,8.5
606,1504,19138661,24.4,2.3,11.7,10.4
607,1504,19103824,24.3,2.3,17.9,4.1
608,1504,19112649,24.2,2.3,11.7,10.2
609,1504,19102968,24.0,7.0,17.1,0.0
610,1504,19112360,24.0,10.3,9.6,4.1
611,1504,19141101,24.0,9.3,0.0,14.7
612,1504,19137364,24.0,13.6,4.5,5.8
613,1504,19124186,24.0,2.3,0.0,21.7
614,1504,19101148,23.9,2.3,9.6,12.1
615,1504,19124029,23.9,2.3,0.0,21.6
616,1504,19108282,23.9,0.0,18.0,5.8
617,1504,19140913,23.9,2.3,4.5,17.1
618,1504,19123891,23.9,0.0,9.6,14.3
619,1504,19110625,23.9,2.3,21.6,0.0
620,1504,19135705,23.7,7.0,6.3,10.4
621,1504,19130981,23.6,0.0,6.3,17.3
622,1504,19116827,23.6,2.3,5.1,16.2
623,1504,19106928,23.6,2.3,4.5,16.8
624,1504,19100828,23.5,2.3,0.0,21.2
625,1504,19136846,23.4,0.0,6.7,16.8
626,1504,19102146,23.4,7.0,0.0,16.4
627,1504,19131309,23.4,0.0,13.0,10.4
628,1504,19115739,23.2,2.3,5.1,15.8
629,1504,19121325,23.2,2.3,10.9,10.0
630,1504,19113458,23.2,8.0,6.7,8.5
631,1504,19116405,23.1,11.1,0.0,12.1
632,1504,19135487,23.1,0.0,0.0,23.1
633,1504,19132400,23.0,7.0,0.0,16.0
634,1504,19103109,23.0,0.0,12.8,10.2
635,1504,19109996,22.9,0.0,6.3,16.6
636,1504,19130705,22.9,0.0,6.3,16.6
637,1504,19111713,22.9,0.0,17.1,5.8
638,1504,19100652,22.9,10.3,6.3,6.2
639,1504,19114359,22.9,2.3,0.0,20.6
640,1504,19136648,22.8,0.0,4.5,18.3
641,1504,19129214,22.7,8.0,6.2,8.5
642,1504,19144211,22.7,0.0,12.5,10.2
643,1504,19142201,22.5,0.0,6.3,16.2
644,1504,19105603,22.3,0.0,6.7,15.6
645,1504,19125443,22.1,2.3,15.7,4.1
646,1504,19134972,22.1,2.3,5.1,14.7
647,1504,19104729,22.0,2.3,9.6,10.2
648,1504,19130504,22.0,7.0,5.1,10.0
649,1504,19101860,21.7,2.3,5.1,14.3
650,1504,19118204,21.7,15.0,6.7,0.0
651,1504,19137511,21.6,11.1,0.0,10.6
652,1504,19144569,21.6,0.0,0.0,21.6
653,1504,19130641,21.6,11.1,6.2,4.3
654,1504,19141495,21.5,17.4,0.0,4.1
655,1504,19111852,21.4,8.8,12.7,0.0
656,1504,19121356,21.4,0.0,0.0,21.4
657,1504,19142559,21.4,2.3,6.7,12.4
658,1504,19104736,21.4,2.3,6.7,12.4
659,1504,19107742,21.3,8.8,6.3,6.2
660,1504,19125837,21.3,7.0,0.0,14.3
661,1504,19135888,21.2,15.0,0.0,6.2
662,1504,19101779,21.2,11.1,0.0,10.2
663,1504,19130617,21.2,0.0,9.6,11.7
664,1504,19119945,21.0,10.3,6.3,4.3
665,1504,19109426,20.9,8.0,6.7,6.2
666,1504,19118970,20.9,8.0,6.7,6.2
667,1504,19144527,20.9,0.0,10.7,10.2
668,1504,19117455,20.7,10.3,0.0,10.4
669,1504,19113779,20.7,0.0,6.3,14.3
670,1504,19138932,20.6,0.0,6.3,14.3
671,1504,19104716,20.6,0.0,6.3,14.3
672,1504,19141326,20.3,0.0,4.5,15.8
673,1504,19128215,20.2,0.0,0.0,20.2
674,1504,19124245,20.1,2.3,6.3,11.5
675,1504,19101403,20.1,15.9,0.0,4.1
676,1504,19127542,20.0,8.0,6.2,5.8
677,1504,19112243,19.9,2.3,6.2,11.5
678,1504,19114078,19.9,10.3,9.6,0.0
679,1504,19141799,19.8,2.3,5.1,12.4
680,1504,19126621,19.8,13.6,6.2,0.0
681,1504,19100120,19.8,2.3,0.0,17.5
682,1504,19137968,19.8,2.3,11.2,6.2
683,1504,19106998,19.5,15.0,4.5,0.0
684,1504,19143877,19.4,2.3,5.1,12.1
685,1504,19116549,19.4,15.1,0.0,4.3
686,1504,19121212,19.4,2.3,11.2,5.8
687,1504,19133146,19.3,15.0,0.0,4.3
688,1504,19104977,19.3,0.0,10.8,8.5
689,1504,19139757,19.3,0.0,0.0,19.3
690,1504,19120712,19.2,15.1,0.0,4.1
691,1504,19140705,19.1,0.0,19.1,0.0
692,1504,19107302,19.1,0.0,10.7,8.5
693,1504,19101948,19.1,15.0,0.0,4.1
694,1504,19142067,19.1,2.3,12.5,4.3
695,1504,19125455,18.9,2.3,0.0,16.6
696,1504,19103258,18.9,14.7,0.0,4.1
697,1504,19117236,18.9,14.7,0.0,4.1
698,1504,19144693,18.8,2.3,5.1,11.5
699,1504,19110814,18.8,0.0,4.5,14.3
700,1504,19100197,18.6,8.0,0.0,10.6
701,1504,19123983,18.6,2.3,6.3,10.0
702,1504,19137787,18.6,2.3,6.3,10.0
703,1504,19126438,18.6,2.3,6.3,10.0
704,1504,19118609,18.5,9.3,5.1,4.1
705,1504,19109134,18.3,2.3,0.0,16.0
706,1504,19119242,18.3,0.0,0.0,18.3
707,1504,19102187,18.1,2.3,11.7,4.1
708,1504,19122384,18.1,2.3,11.7,4.1
709,1504,19100159,18.1,9.3,4.5,4.3
710,1504,19135482,17.8,2.3,11.4,4.1
711,1504,19130896,17.8,2.3,11.4,4.1
712,1504,19131001,17.7,2.3,5.1,10.4
713,1504,19121224,17.7,2.3,9.6,5.8
714,1504,19136608,17.6,0.0,17.6,0.0
715,1504,19111080,17.4,2.3,4.5,10.6
716,1504,19134550,17.4,2.3,4.5,10.6
717,1504,19102524,17.3,2.3,10.9,4.1
718,1504,19105886,17.3,2.3,5.1,10.0
719,1504,19111774,17.3,2.3,5.1,10.0
720,1504,19111199,17.3,7.0,6.2,4.1
721,1504,19143356,17.0,2.3,4.5,10.2
722,1504,19102185,16.8,2.3,4.5,10.0
723,1504,19105620,16.8,2.3,4.5,10.0
724,1504,19123645,16.8,2.3,4.5,10.0
725,1504,19131255,16.8,2.3,4.5,10.0
726,1504,19135481,16.7,0.0,6.2,10.6
727,1504,19107137,16.7,0.0,6.3,10.4
728,1504,19133753,16.6,0.0,6.7,10.0
729,1504,19106858,16.6,2.3,0.0,14.3
730,1504,19107832,16.6,12.4,0.0,4.1
731,1504,19109867,16.4,0.0,0.0,16.4
732,1504,19112058,16.4,0.0,0.0,16.4
733,1504,19109476,16.2,0.0,0.0,16.2
734,1504,19137620,16.1,0.0,6.2,10.0
735,1504,19143903,15.8,0.0,0.0,15.8
736,1504,19135000,15.8,0.0,0.0,15.8
737,1504,19103751,15.8,0.0,0.0,15.8
738,1504,19104547,15.5,0.0,11.4,4.1
739,1504,19121695,15.5,9.3,0.0,6.2
740,1504,19133999,15.4,11.1,0.0,4.3
741,1504,19118687,15.3,2.3,4.5,8.5
742,1504,19106212,15.1,15.1,0.0,0.0
743,1504,19134319,15.0,0.0,10.7,4.3
744,1504,19131220,14.8,10.3,4.5,0.0
745,1504,19143146,14.7,14.7,0.0,0.0
746,1504,19108082,14.7,0.0,0.0,14.7
747,1504,19108758,14.7,8.0,6.7,0.0
748,1504,19126998,14.7,10.3,0.0,4.3
749,1504,19105618,14.6,8.8,0.0,5.8
750,1504,19141623,14.5,0.0,4.5,10.0
751,1504,19131903,14.5,0.0,4.5,10.0
752,1504,19138237,14.4,2.3,0.0,12.1
753,1504,19136720,14.3,0.0,0.0,14.3
754,1504,19141497,14.3,0.0,0.0,14.3
755,1504,19111654,14.3,2.3,6.2,5.8
756,1504,19139842,13.8,8.0,0.0,5.8
757,1504,19107369,13.6,2.3,5.1,6.2
758,1504,19145101,13.6,2.3,5.1,6.2
759,1504,19119207,13.2,7.0,0.0,6.2
760,1504,19129643,13.2,2.3,5.1,5.8
761,1504,19102305,13.2,2.3,5.1,5.8
762,1504,19103333,13.2,2.3,10.9,0.0
763,1504,19138102,13.0,2.3,6.3,4.3
764,1504,19123198,12.9,2.3,0.0,10.6
765,1504,19104918,12.7,2.3,0.0,10.4
766,1504,19115758,12.7,0.0,12.7,0.0
767,1504,19140304,12.7,0.0,12.7,0.0
768,1504,19118829,12.6,2.3,6.2,4.1
769,1504,19118944,12.5,2.3,0.0,10.2
770,1504,19111303,12.5,2.3,0.0,10.2
771,1504,19132705,12.5,2.3,0.0,10.2
772,1504,19137502,12.4,0.0,0.0,12.4
773,1504,19102505,12.4,8.0,0.0,4.3
774,1504,19128735,12.3,2.3,0.0,10.0
775,1504,19111923,12.3,2.3,0.0,10.0
776,1504,19125023,12.3,2.3,0.0,10.0
777,1504,19100781,12.3,2.3,0.0,10.0
778,1504,19135612,12.1,0.0,0.0,12.1
779,1504,19134686,12.0,0.0,6.2,5.8
780,1504,19105119,11.9,2.3,9.6,0.0
781,1504,19101205,11.9,2.3,9.6,0.0
782,1504,19103325,11.7,2.3,5.1,4.3
783,1504,19113909,11.7,0.0,0.0,11.7
784,1504,19141681,11.5,2.3,5.1,4.1
785,1504,19130101,11.5,2.3,5.1,4.1
786,1504,19115228,11.5,2.3,5.1,4.1
787,1504,19124826,11.5,7.0,4.5,0.0
788,1504,19117594,11.0,0.0,6.7,4.3
789,1504,19101687,11.0,0.0,6.7,4.3
790,1504,19120035,10.9,2.3,4.5,4.1
791,1504,19125601,10.9,0.0,5.1,5.8
792,1504,19138649,10.9,0.0,5.1,5.8
793,1504,19142439,10.8,0.0,10.8,0.0
794,1504,19134326,10.8,0.0,6.7,4.1
795,1504,19120812,10.8,2.3,0.0,8.5
796,1504,19135897,10.8,2.3,0.0,8.5
797,1504,19108009,10.8,0.0,4.5,6.2
798,1504,19114648,10.7,0.0,6.3,4.3
799,1504,19132378,10.7,0.0,6.3,4.3
800,1504,19102896,10.7,0.0,10.7,0.0
801,1504,19113534,10.5,0.0,6.2,4.3
802,1504,19134595,10.5,0.0,6.2,4.3
803,1504,19139138,10.4,0.0,0.0,10.4
804,1504,19138423,10.4,0.0,4.5,5.8
805,1504,19134052,10.3,10.3,0.0,0.0
806,1504,19132866,10.0,0.0,0.0,10.0
807,1504,19107242,10.0,0.0,0.0,10.0
808,1504,19125887,9.4,0.0,5.1,4.3
809,1504,19135224,9.4,0.0,5.1,4.3
810,1504,19138724,9.4,0.0,5.1,4.3
811,1504,19124092,9.2,0.0,5.1,4.1
812,1504,19126570,8.8,0.0,4.5,4.3
813,1504,19100178,8.1,2.3,0.0,5.8
814,1504,19132073,8.1,2.3,0.0,5.8
815,1504,19118462,8.1,2.3,0.0,5.8
816,1504,19121651,8.1,2.3,0.0,5.8
817,1504,19121375,7.4,2.3,5.1,0.0
818,1504,19144027,7.4,2.3,5.1,0.0
819,1504,19104517,7.4,2.3,5.1,0.0
820,1504,19102616,6.8,2.3,4.5,0.0
821,1504,19107238,6.7,0.0,6.7,0.0
822,1504,19125773,6.4,2.3,0.0,4.1
823,1504,19120642,6.4,2.3,0.0,4.1
824,1504,19136827,6.4,2.3,0.0,4.1
825,1504,19131397,6.4,2.3,0.0,4.1
826,1504,19111887,6.4,2.3,0.0,4.1
827,1504,19101095,6.2,0.0,6.2,0.0
828,1504,19109357,6.2,0.0,6.2,0.0
829,1504,19138941,5.8,0.0,0.0,5.8
830,1504,19138763,5.1,0.0,5.1,0.0
831,1504,19105247,4.5,0.0,4.5,0.0
832,1504,19107465,4.5,0.0,4.5,0.0
833,1504,19138193,4.3,0.0,0.0,4.3
834,1504,19100909,4.1,0.0,0.0,4.1
835,1504,19137979,4.1,0.0,0.0,4.1
836,1504,19124643,2.3,2.3,0.0,0.0
837,1504,19112068,2.3,2.3,0.0,0.0
838,1504,19109340,0.0,0.0,0.0,0.0
839,1504,19115332,0.0,0.0,0.0,0.0
840,1504,19116996,0.0,0.0,0.0,0.0
841,1504,19123658,0.0,0.0,0.0,0.0
842,1504,19110590,0.0,0.0,0.0,0.0
843,1504,19137826,0.0,0.0,0.0,0.0
844,1504,19136365,0.0,0.0,0.0,0.0
845,1504,19104167,0.0,0.0,0.0,0.0
846,1504,19113375,0.0,0.0,0.0,0.0
847,1504,19135164,0.0,0.0,0.0,0.0
848,1504,19134788,0.0,0.0,0.0,0.0
